origin_country,origin_country_iso,country,country_iso,mode,package_type,product_description,hs_code,max_weight_kg_per_package,max_total_weight_kg,restricted,restricted_details,banned,banned_details,packing_notes
South Africa,ZA,Singapore,SG,air,envelope,pharmaceutical (prescription),300490,2,120,yes,GMP-compliant packaging; regulatory approvals; cold chain if needed,no,,Temperature-monitored packaging; tamper-evident seals; regulatory labeling
United States,US,Spain,ES,sea,box,electronicS (consumer),851712,2000,26000,no,,no,,CE marking; anti-static packaging; secure transit
Indonesia,ID,Canada,CA,rail,crate,live animal,10619,25,20000,yes,Import permit; health certification; quarantine upon arrival,yes,Biosecurity risk; certain species restricted,Containment and humane handling; quarantine space as needed
United States,US,Japan,JP,air,box,alcoholic beverages,220830,23,400,yes,Alcohol import permit; labeling per destination; tax handling,no,,Seal integrity; temperature control not always required but preferred
India,IN,United States,US,air,box,lithium-ion battery,850760,2,200,yes,IATA DG declaration required; lithium battery shipping limits apply; permit for dangerous goods,no,,"UN-approved lithium battery packaging, 2-4 serial numbers per box, double containment, thermal insulation"
China,CN,Germany,DE,road,crate,electronic consumer electronics,851712,32,18000,no,,no,,"Double-wall crate, anti-static inner pack, shock-absorbent padding"
Brazil,BR,Japan,JP,sea,pallet,fresh fruit/vegetables,80810,1000,22000,yes,Phytosanitary certificate required; phytosanitary inspection at port,no,,Temperature controlled 2-8°C; pre-cooling before loading; palletized with stretch wrap
United Kingdom,GB,Canada,CA,rail,box,pharmaceutical (prescription),300490,23,15000,yes,Export/import licenses; GMP compliance; cold chain if required,no,,FDA/EMA compliant tamper-evident seals; cold chain if needed; UN packaging not required
United Arab Emirates,AE,Australia,AU,air,box,pharmaceutical (prescription),300490,23,500,yes,Pharmacovigilance import checks; IATA DG declaration; controlled substances compliance,no,,Cool chain packaging; validated temperature data loggers; tamper-evident seals
Germany,DE,France,FR,courier,envelope,cosmetics,330499,2,250,no,,no,,Sealed cosmetic tubes; carton protection; avoid air exposure
China,CN,South Korea,KR,air,box,electronics (consumer),851712,23,300,yes,IATA DG for lithium-containing devices; battery packing; declaration required,no,,UN-certified packaging; anti-static bag; cushion material
United States,US,Mexico,MX,multimodal,case,used clothing,630900,32,12000,no,,no,,Original manufacturer packaging; odor control; moisture barrier
Japan,JP,Spain,ES,sea,pallet,live animal,10619,1000,26000,yes,Veterinary certificate; import permit; animal health checks,yes,Wildlife/biosecurity restrictions; transport restricted,Specialized containment; temperature control; buffer zones
India,IN,Italy,IT,road,box,seed,120991,20,9000,yes,Phytosanitary certificate; genetic modification disclosures where applicable,no,,Pest-proof packaging; seed lots with lot numbers; weight marked
Netherlands,NL,Singapore,SG,air,envelope,pharmaceutical (prescription),300490,2,150,yes,Controlled substances controls; import license; health authority clearance,no,,Tamper-evident seal; sealed pharmaceutical pouch; temperature controlled if necessary
Canada,CA,France,FR,rail,box,fresh fruit/vegetables,80810,1000,18000,no,,no,,Ventilated packaging; temperature monitoring; moisture control
United States,US,Japan,JP,air,box,electronic (consumer),851712,23,250,yes,IATA DG declaration; lithium battery packing; shipping permit,no,,MSDS on file; anti-static packing; proper labeling
South Korea,KR,Canada,CA,courier,envelope,cosmetics,330499,2,100,no,,no,,Tamper-evident seal; cosmetic label compliance; batch numbers
Australia,AU,United Kingdom,GB,sea,pallet,alcoholic beverages,220830,1000,26000,yes,Excise duty validation; import quota; age verification on delivery,no,,Draught boxes; temperature-controlled hold; bulk pallet labeling
Saudi Arabia,SA,Netherlands,NL,multimodal,crate,counterfeit goods,0,5000,20000,yes,Trade sanctions; IP rights enforcement; customs watch list,yes,Counterfeit goods prohibited under law,Sealed crate; chain-of-custody documentation; sealed freight
 Spain,ES,United States,US,road,box,live plant/seed,120991,25,12000,yes, phytosanitary certificate and plant health checks; import permit,no,,Pest-proof packaging; layered insulation against heat
Italy,IT,Brazil,BR,air,envelope,pharmaceutical (prescription),300490,2,120,yes,Healthcare authority clearance; controlled substances verification,no,,Tamper-evident pharmaceutical pouch; temperature monitoring
Singapore,SG,South Africa,ZA,sea,pallet,chemical (industrial solvent),382200,1000,26000,yes,MSDS validation; hazardous material classification; permit,no,,Hazmat labeling; corrosion-resistant drums; spill containment
France,FR,Mexico,MX,rail,case,toy (small),950300,32,18000,no,,no,,Fragile contents; bubble wrap; child-safety packaging
Netherlands,NL,Indonesia,ID,air,envelope,cosmetics,330499,2,120,no,,no,,Cosmetic compliance labeling; secure seal; batch numbers
United States,US,Spain,ES,courier,box,electronic (consumer),851712,23,200,yes,IATA DG declaration; lithium battery packing; export compliance,no,,Anti-static inner bags; shock-absorbing padding; clear hazard labeling
China,CN,Canada,CA,road,crate,live animal,10619,500,15000,yes,Veterinary health certificate; import permit; quarantine requirements,no,,Dedicated livestock container; continuous oxygenation; temperature control
India,IN,United Kingdom,GB,sea,pallet,seed,120991,1000,26000,yes,Phytosanitary certificate; GMO disclosures; import quota,no,,Pest-proof packaging; lot traceability; seal integrity
Japan,JP,Canada,CA,rail,box,cosmetics,330499,20,9000,no,,no,,Tamper-evident seals; batch numbers; language-label compliance
Mexico,MX,United States,US,air,envelope,pharmaceutical (prescription),300490,2,180,yes,Prescription validation; controlled substance controls; health authority clearance,no,,Cold chain envelope; data loggers; seal integrity
India,IN,United States,US,air,box,lithium-ion battery,850760,2,350,yes,"IATA DG declaration required; lithium batteries restricted to UN3480/UN3481, must be shipped with proper packaging and state of charge",no,,"UN-certified packing, Li-ion battery in protective casing, state of charge 30-50% per flight rules, temperature controlled if possible"
China,CN,Germany,DE,rail,pallet,electronics (consumer),851712,1000,18000,yes,EU safety compliance; RoHS; export control regulation; end-use check,no,,"Palletized, moisture barriers, carton marking with HS code and consignee, label legibility"
United Kingdom,GB,Japan,JP,sea,crate,pharmaceutical (prescription),300490,5000,25000,yes,Pharmaceutical licensing; import license; special handling for controlled substances,no,,"UN-approved crash-resistant crate, cold chain if needed, tamper-evident seals"
Brazil,BR,Canada,CA,courier,envelope,pharmaceutical (prescription),300490,2,120,yes,Pharmacy-level validation; Prescription verification; controlled substances handling,no,,"Tamper-evident seal, DEA/Health authority documentation where required, compliant with cross-border courier standards"
United States,US,India,IN,air,box,fresh fruit/vegetables,80810,23,400,no,,no,,"Temperature control 2-8°C where needed, fresh case labeling, phytosanitary certificate where required"
Germany,DE,Spain,ES,road,case,live animal,10619,250,9000,yes,Veterinary certificate; animal health import permit; quarantine arrangements,no,,"Secure, ventilation, appropriate carrier cages, veterinary contact labels"
Canada,CA,Mexico,MX,multimodal,box,cosmetics,330499,23,15000,no,,no,,"Tamper-evident seals, cosmetic labeling per destination guidelines, compliant with age restrictions"
Japan,JP,Singapore,SG,air,envelope,electronic s (consumer),851712,2,200,yes,IATA DG declarations; ESD controls for electronics; export controls,no,,"Electronics packed to prevent ESD, anti-static bags, battery removed if required"
South Korea,KR,Australia,AU,sea,pallet,toy (small),950300,1000,22000,no,,no,,"Secure shrink-wrapped pallets, child-safety compliance where applicable"
Netherlands,NL,France,FR,road,box,chemical (industrial solvent),382200,25,15000,yes,Hazmat classification; IATA/IMDG compliance; MSDS available; permits for transport of flammable solvents,yes,Some solvents restricted due to VOC content,"Hazmat pack with UN markings, ventilation, leak-proof containers"
Italy,IT,United Kingdom,GB,rail,crate,live animal,10619,4000,18000,yes, Veterinary controls; import permit; health certificate,no,,Containerized crate with ventilation; animal welfare compliant
Spain,ES,Japan,JP,air,box,alcoholic beverages,220830,23,300,yes,"Tax, excise approvals; alcohol import license; age verification at destination",no,,"Sealed bottling units, tamper-evident seals, consistent labeling, temperature controlled transport if needed"
France,FR,India,IN,courier,envelope,cosmetics,330499,2,100,yes,Cosmetics product registration; import notification; restricted substance checks,yes,Counterfeit cosmetics; safety concerns leading to import bans,"Tamper-evident seals, clear labeling, batch numbers"
Netherlands,NL,United Arab Emirates,AE,multimodal,case,pharmaceutical (prescription),300490,32,18000,yes,Pharmaceutical permits; import clearance; cold chain validation,no,,"Cold chain, validated packaging, customs documentation"
Australia,AU,China,CN,sea,box,live animal,10619,200,15000,yes, Veterinary checks; import permit; quarantine upon arrival,yes,Wildlife protection laws; restricted species,Secure containment; climate appropriate enclosure; veterinary containment
Saudi Arabia,SA,United Kingdom,GB,air,box,fresh fruit/vegetables,80810,23,250,no,,no,,Temperature control; careful stacking; freshness monitoring
United States,US,Brazil,BR,rail,crate,cosmetics,330499,5000,21000,no,,no,,Tamper-evident seals; batch traceability; consistent labeling
China,CN,South Korea,KR,air,box,electronic s (consumer),851712,2,260,yes,IATA DG declaration; restricted materials handling; ESD protection,no,,ESD-safe packaging; anti-static bags; battery separator if required
India,IN,United Arab Emirates,AE,courier,envelope,pharmaceutical (prescription),300490,2,80,yes,Pharmacy license; import permit; medical device listing where applicable,no,,Tamper-evident packaging; proper labeling; cold chain if needed
United States,US,Japan,JP,multimodal,case,lithium-ion battery,850760,1000,22000,yes,IATA/IMDG dual-regime compliance; special handling due to battery risk; charge-state disclosure,no,,UN-approved packaging; battery terminals protected; labeling per battery type
Singapore,SG,France,FR,sea,pallet,pharmaceutical (prescription),300490,1000,26000,yes,Pharmaceutical import licensing; track-and-trace; cold chain validation,no,,Cold chain pallets; validated packaging; batch-level traceability
Mexico,MX,Spain,ES,road,box,fresh fruit/vegetables,80810,23,1200,no,,no,,Perishable labeling; refrigeration where needed; phytosanitary certificates
India,IN,United States,US,air,box,lithium-ion battery,850760,2,150,yes,"IATA Lithium Battery restrictions; UN3480/UN3481, battery testing and packaging requirements",no,,UN-certified packaging; lithium battery in outer packaging; proper labeling and battery testing documentation
China,CN,Germany,DE,sea,pallet,electronics (consumer),851712,1000,25000,yes,NMC lithium content control; SHIPMENTS with lithium batteries require dangerous goods declaration,no,,ASN+ packing list; hazmat placards as required; temperature control not necessary
Brazil,BR,Japan,JP,air,envelope,pharmaceutical (prescription),300490,2,120,yes,Pharmaceuticals require import license and certificate of good manufacturing practice,no,,Pharmacist-signed medical documentation; tamper-evident seals
Canada,CA,France,FR,courier,box,cosmetics,330499,2,80,no,,no,,Temperature as per product; cosmetic safety data sheet; batch numbers visible
United Kingdom,GB,Australia,AU,multimodal,crate,chemical (industrial solvent),382200,5000,22000,yes,Hazardous chemical; IMDG classification; formal notification to carrier; proper segregation,no,,UN-certified drums; secondary containment; spill kit; temperature control if volatile
